model_path,task_path,n_shot,eval_suite
MultiSynt/nemotron-cc-german-tower72b,mgsm_native_cot_de,5,lm-eval-harness
MultiSynt/nemotron-cc-german-tower72b,include_base_44_german,0,lm-eval-harness
MultiSynt/nemotron-cc-german-tower72b,belebele_deu_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-icelandic-tower9b,icelandic_winogrande,0,lm-eval-harness
MultiSynt/nemotron-cc-italian-tower72b,belebele_ita_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-italian-tower72b,flores200:ita_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-italian-tower72b,flores200:eng_Latn-ita_Latn,0,lighteval
MultiSynt/nemotron-cc-italian-tower72b,global_mmlu_full_it,5,lm-eval-harness
MultiSynt/nemotron-cc-italian-tower72b,include_base_44_italian,0,lm-eval-harness
MultiSynt/nemotron-cc-italian-tower72b,belebele_ita_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-norwegian-tower9b,belebele_nob_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-norwegian-tower9b,belebele_nob_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-polish-tower9b,belebele_pol_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-polish-tower9b,flores200:pol_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-polish-tower9b,flores200:eng_Latn-pol_Latn,0,lighteval
MultiSynt/nemotron-cc-polish-tower9b,global_mmlu_full_pl,5,lm-eval-harness
MultiSynt/nemotron-cc-polish-tower9b,include_base_44_polish,0,lm-eval-harness
MultiSynt/nemotron-cc-polish-tower9b,belebele_pol_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-portuguese-opus,belebele_por_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-portuguese-opus,flores200:por_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-portuguese-opus,flores200:eng_Latn-por_Latn,0,lighteval
MultiSynt/nemotron-cc-portuguese-opus,global_mmlu_full_pt,5,lm-eval-harness
MultiSynt/nemotron-cc-portuguese-opus,include_base_44_portuguese,0,lm-eval-harness
MultiSynt/nemotron-cc-portuguese-opus,belebele_por_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-romanian-tower9b,belebele_ron_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-romanian-tower9b,flores200:ron_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-romanian-tower9b,flores200:eng_Latn-ron_Latn,0,lighteval
MultiSynt/nemotron-cc-romanian-tower9b,global_mmlu_full_ro,5,lm-eval-harness
MultiSynt/nemotron-cc-romanian-tower9b,belebele_ron_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-spanish-tower72b,belebele_spa_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-spanish-tower72b,flores200:spa_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-spanish-tower72b,flores200:eng_Latn-spa_Latn,0,lighteval
MultiSynt/nemotron-cc-spanish-tower72b,global_mmlu_full_es,5,lm-eval-harness
MultiSynt/nemotron-cc-spanish-tower72b,mgsm_native_cot_es,5,lm-eval-harness
MultiSynt/nemotron-cc-spanish-tower72b,include_base_44_spanish,0,lm-eval-harness
MultiSynt/nemotron-cc-spanish-tower72b,belebele_spa_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-swedish-tower72b,belebele_swe_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-swedish-tower72b,flores200:swe_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-swedish-tower72b,flores200:eng_Latn-swe_Latn,0,lighteval
MultiSynt/nemotron-cc-swedish-tower72b,global_mmlu_full_sv,5,lm-eval-harness
MultiSynt/nemotron-cc-swedish-tower72b,belebele_swe_Latn_cf,5,lighteval
HPLT/hplt2c_eus_checkpoints,include_base_44_basque,0,lm-eval-harness
HPLT/hplt2c_eus_checkpoints,belebele_eus_Latn,5,lm-eval-harness
HPLT/hplt2c_eus_checkpoints,belebele_eus_Latn_cf,5,lighteval
HPLT/hplt2c_cat_checkpoints,belebele_cat_Latn,5,lm-eval-harness
HPLT/hplt2c_cat_checkpoints,copa_ca,0,lm-eval-harness
HPLT/hplt2c_cat_checkpoints,belebele_cat_Latn_cf,5,lighteval
HPLT/hplt2c_dan_checkpoints,belebele_dan_Latn,5,lm-eval-harness
HPLT/hplt2c_dan_checkpoints,flores200:dan_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_dan_checkpoints,flores200:eng_Latn-dan_Latn,0,lighteval
HPLT/hplt2c_dan_checkpoints,belebele_dan_Latn_cf,5,lighteval
HPLT/hplt2c_nld_checkpoints,belebele_nld_Latn,5,lm-eval-harness
HPLT/hplt2c_nld_checkpoints,flores200:nld_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_nld_checkpoints,flores200:eng_Latn-nld_Latn,0,lighteval
HPLT/hplt2c_nld_checkpoints,global_mmlu_full_nl,5,lm-eval-harness
HPLT/hplt2c_nld_checkpoints,include_base_44_dutch,0,lm-eval-harness
HPLT/hplt2c_nld_checkpoints,belebele_nld_Latn_cf,5,lighteval
HPLT/hplt2c_fin_checkpoints,belebele_fin_Latn,5,lm-eval-harness
HPLT/hplt2c_fin_checkpoints,flores200:fin_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_fin_checkpoints,flores200:eng_Latn-fin_Latn,0,lighteval
HPLT/hplt2c_fin_checkpoints,include_base_44_finnish,0,lm-eval-harness
HPLT/hplt2c_fin_checkpoints,belebele_fin_Latn_cf,5,lighteval
HPLT/hplt2c_fra_checkpoints,belebele_fra_Latn,5,lm-eval-harness
HPLT/hplt2c_fra_checkpoints,flores200:fra_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_fra_checkpoints,flores200:eng_Latn-fra_Latn,0,lighteval
HPLT/hplt2c_fra_checkpoints,global_mmlu_full_fr,5,lm-eval-harness
HPLT/hplt2c_fra_checkpoints,mgsm_native_cot_fr,5,lm-eval-harness
HPLT/hplt2c_fra_checkpoints,include_base_44_french,0,lm-eval-harness
HPLT/hplt2c_fra_checkpoints,belebele_fra_Latn_cf,5,lighteval
HPLT/hplt2c_deu_checkpoints,belebele_deu_Latn,5,lm-eval-harness
HPLT/hplt2c_deu_checkpoints,flores200:deu_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_deu_checkpoints,flores200:eng_Latn-deu_Latn,0,lighteval
HPLT/hplt2c_deu_checkpoints,global_mmlu_full_de,5,lm-eval-harness
HPLT/hplt2c_deu_checkpoints,mgsm_native_cot_de,5,lm-eval-harness
HPLT/hplt2c_deu_checkpoints,include_base_44_german,0,lm-eval-harness
HPLT/hplt2c_deu_checkpoints,belebele_deu_Latn_cf,5,lighteval
HPLT/hplt2c_isl_checkpoints,icelandic_winogrande,0,lm-eval-harness
HPLT/hplt2c_ita_checkpoints,belebele_ita_Latn,5,lm-eval-harness
HPLT/hplt2c_ita_checkpoints,flores200:ita_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_ita_checkpoints,flores200:eng_Latn-ita_Latn,0,lighteval
HPLT/hplt2c_ita_checkpoints,global_mmlu_full_it,5,lm-eval-harness
HPLT/hplt2c_ita_checkpoints,include_base_44_italian,0,lm-eval-harness
HPLT/hplt2c_ita_checkpoints,belebele_ita_Latn_cf,5,lighteval
HPLT/hplt2c_nob_checkpoints,belebele_nob_Latn,5,lm-eval-harness
HPLT/hplt2c_nob_checkpoints,belebele_nob_Latn_cf,5,lighteval
HPLT/hplt2c_pol_checkpoints,belebele_pol_Latn,5,lm-eval-harness
HPLT/hplt2c_pol_checkpoints,flores200:pol_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_pol_checkpoints,flores200:eng_Latn-pol_Latn,0,lighteval
HPLT/hplt2c_pol_checkpoints,global_mmlu_full_pl,5,lm-eval-harness
HPLT/hplt2c_pol_checkpoints,include_base_44_polish,0,lm-eval-harness
HPLT/hplt2c_pol_checkpoints,belebele_pol_Latn_cf,5,lighteval
HPLT/hplt2c_por_checkpoints,belebele_por_Latn,5,lm-eval-harness
HPLT/hplt2c_por_checkpoints,flores200:por_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_por_checkpoints,flores200:eng_Latn-por_Latn,0,lighteval
HPLT/hplt2c_por_checkpoints,global_mmlu_full_pt,5,lm-eval-harness
HPLT/hplt2c_por_checkpoints,include_base_44_portuguese,0,lm-eval-harness
HPLT/hplt2c_por_checkpoints,belebele_por_Latn_cf,5,lighteval
HPLT/hplt2c_ron_checkpoints,belebele_ron_Latn,5,lm-eval-harness
HPLT/hplt2c_ron_checkpoints,flores200:ron_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_ron_checkpoints,flores200:eng_Latn-ron_Latn,0,lighteval
HPLT/hplt2c_ron_checkpoints,global_mmlu_full_ro,5,lm-eval-harness
HPLT/hplt2c_ron_checkpoints,belebele_ron_Latn_cf,5,lighteval
HPLT/hplt2c_spa_checkpoints,belebele_spa_Latn,5,lm-eval-harness
HPLT/hplt2c_spa_checkpoints,flores200:spa_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_spa_checkpoints,flores200:eng_Latn-spa_Latn,0,lighteval
HPLT/hplt2c_spa_checkpoints,global_mmlu_full_es,5,lm-eval-harness
HPLT/hplt2c_spa_checkpoints,mgsm_native_cot_es,5,lm-eval-harness
HPLT/hplt2c_spa_checkpoints,include_base_44_spanish,0,lm-eval-harness
HPLT/hplt2c_spa_checkpoints,belebele_spa_Latn_cf,5,lighteval
HPLT/hplt2c_swe_checkpoints,belebele_swe_Latn,5,lm-eval-harness
HPLT/hplt2c_swe_checkpoints,flores200:swe_Latn-eng_Latn,0,lighteval
HPLT/hplt2c_swe_checkpoints,flores200:eng_Latn-swe_Latn,0,lighteval
HPLT/hplt2c_swe_checkpoints,global_mmlu_full_sv,5,lm-eval-harness
HPLT/hplt2c_swe_checkpoints,belebele_swe_Latn_cf,5,lighteval
