model_name,task,n_shot,performance,metric_name
HPLT/hplt2c_deu_checkpoints,all,unknown,0.39,acc_norm
MultiSynt/nemotron-cc-spanish-tower72b,belebele_spa_Latn_cf,5,0.4288888888888889,acc_norm
MultiSynt/nemotron-cc-spanish-tower72b,all,unknown,0.4288888888888889,acc_norm
HPLT/hplt2c_cat_checkpoints,belebele_cat_Latn_cf,5,0.35444444444444445,acc_norm
HPLT/hplt2c_cat_checkpoints,all,unknown,0.35444444444444445,acc_norm
HPLT/hplt2c_fin_checkpoints,belebele_fin_Latn_cf,5,0.36,acc_norm
HPLT/hplt2c_fin_checkpoints,all,unknown,0.36,acc_norm
MultiSynt/nemotron-cc-catalan-opus,belebele_cat_Latn_cf,5,0.44555555555555554,acc_norm
MultiSynt/nemotron-cc-catalan-opus,all,unknown,0.44555555555555554,acc_norm
HPLT/hplt2c_pol_checkpoints,belebele_pol_Latn_cf,5,0.35444444444444445,acc_norm
HPLT/hplt2c_pol_checkpoints,all,unknown,0.35444444444444445,acc_norm
MultiSynt/nemotron-cc-norwegian-tower9b,belebele_nob_Latn_cf,5,0.39222222222222225,acc_norm
MultiSynt/nemotron-cc-norwegian-tower9b,all,unknown,0.39222222222222225,acc_norm
HPLT/hplt2c_dan_checkpoints,belebele_dan_Latn_cf,5,0.33666666666666667,acc_norm
HPLT/hplt2c_dan_checkpoints,all,unknown,0.33666666666666667,acc_norm
MultiSynt/nemotron-cc-german-tower72b,belebele_deu_Latn_cf,5,0.40555555555555556,acc_norm
MultiSynt/nemotron-cc-german-tower72b,all,unknown,0.40555555555555556,acc_norm
MultiSynt/nemotron-cc-italian-tower72b,belebele_ita_Latn_cf,5,0.41555555555555557,acc_norm
MultiSynt/nemotron-cc-italian-tower72b,all,unknown,0.41555555555555557,acc_norm
HPLT/hplt2c_ron_checkpoints,belebele_ron_Latn_cf,5,0.3711111111111111,acc_norm
HPLT/hplt2c_ron_checkpoints,all,unknown,0.3711111111111111,acc_norm
HPLT/hplt2c_swe_checkpoints,belebele_swe_Latn_cf,5,0.37,acc_norm
HPLT/hplt2c_swe_checkpoints,all,unknown,0.37,acc_norm
HPLT/hplt2c_por_checkpoints,belebele_por_Latn_cf,5,0.3844444444444444,acc_norm
HPLT/hplt2c_por_checkpoints,all,unknown,0.3844444444444444,acc_norm
HPLT/hplt2c_fra_checkpoints,belebele_fra_Latn_cf,5,0.4011111111111111,acc_norm
HPLT/hplt2c_fra_checkpoints,all,unknown,0.4011111111111111,acc_norm
MultiSynt/nemotron-cc-portuguese-opus,belebele_por_Latn_cf,5,0.4211111111111111,acc_norm
MultiSynt/nemotron-cc-portuguese-opus,all,unknown,0.4211111111111111,acc_norm
MultiSynt/nemotron-cc-italian-tower72b,belebele_ita_Latn_cf,5,0.41555555555555557,acc_norm
MultiSynt/nemotron-cc-italian-tower72b,all,unknown,0.41555555555555557,acc_norm
HPLT/hplt2c_nob_checkpoints,belebele_nob_Latn_cf,5,0.35,acc_norm
HPLT/hplt2c_nob_checkpoints,all,unknown,0.35,acc_norm
HPLT/hplt2c_cat_checkpoints,belebele_cat_Latn_cf,5,0.35444444444444445,acc_norm
HPLT/hplt2c_cat_checkpoints,all,unknown,0.35444444444444445,acc_norm
MultiSynt/nemotron-cc-catalan-opus,belebele_cat_Latn_cf,5,0.44555555555555554,acc_norm
MultiSynt/nemotron-cc-catalan-opus,all,unknown,0.44555555555555554,acc_norm
HPLT/hplt2c_ita_checkpoints,belebele_ita_Latn_cf,5,0.35555555555555557,acc_norm
HPLT/hplt2c_ita_checkpoints,all,unknown,0.35555555555555557,acc_norm
HPLT/hplt2c_spa_checkpoints,belebele_spa_Latn_cf,5,0.4077777777777778,acc_norm
HPLT/hplt2c_spa_checkpoints,all,unknown,0.4077777777777778,acc_norm
MultiSynt/nemotron-cc-romanian-tower9b,belebele_ron_Latn_cf,5,0.43666666666666665,acc_norm
MultiSynt/nemotron-cc-romanian-tower9b,all,unknown,0.43666666666666665,acc_norm
MultiSynt/nemotron-cc-swedish-tower72b,belebele_swe_Latn_cf,5,0.42333333333333334,acc_norm
MultiSynt/nemotron-cc-swedish-tower72b,all,unknown,0.42333333333333334,acc_norm
HPLT/hplt2c_deu_checkpoints,belebele_deu_Latn_cf,5,0.39,acc_norm
HPLT/hplt2c_deu_checkpoints,all,unknown,0.39,acc_norm
HPLT/hplt2c_ron_checkpoints,belebele_ron_Latn_cf,5,0.3711111111111111,acc_norm
HPLT/hplt2c_ron_checkpoints,all,unknown,0.3711111111111111,acc_norm
MultiSynt/nemotron-cc-spanish-tower72b,belebele_spa_Latn_cf,5,0.4288888888888889,acc_norm
MultiSynt/nemotron-cc-spanish-tower72b,all,unknown,0.4288888888888889,acc_norm
HPLT/hplt2c_swe_checkpoints,belebele_swe_Latn_cf,5,0.37,acc_norm
HPLT/hplt2c_swe_checkpoints,all,unknown,0.37,acc_norm
MultiSynt/nemotron-cc-danish-tower9b,belebele_dan_Latn_cf,5,0.4022222222222222,acc_norm
MultiSynt/nemotron-cc-danish-tower9b,all,unknown,0.4022222222222222,acc_norm
MultiSynt/nemotron-cc-polish-tower9b,belebele_pol_Latn_cf,5,0.39444444444444443,acc_norm
MultiSynt/nemotron-cc-polish-tower9b,all,unknown,0.39444444444444443,acc_norm
HPLT/hplt2c_pol_checkpoints,belebele_pol_Latn_cf,5,0.35444444444444445,acc_norm
HPLT/hplt2c_pol_checkpoints,all,unknown,0.35444444444444445,acc_norm
HPLT/hplt2c_eus_checkpoints,belebele_eus_Latn_cf,5,0.31777777777777777,acc_norm
HPLT/hplt2c_eus_checkpoints,all,unknown,0.31777777777777777,acc_norm
MultiSynt/nemotron-cc-german-tower72b,belebele_deu_Latn_cf,5,0.40555555555555556,acc_norm
MultiSynt/nemotron-cc-german-tower72b,all,unknown,0.40555555555555556,acc_norm
HPLT/hplt2c_fin_checkpoints,belebele_fin_Latn_cf,5,0.36,acc_norm
HPLT/hplt2c_fin_checkpoints,all,unknown,0.36,acc_norm
HPLT/hplt2c_nld_checkpoints,belebele_nld_Latn_cf,5,0.3933333333333333,acc_norm
HPLT/hplt2c_nld_checkpoints,all,unknown,0.3933333333333333,acc_norm
MultiSynt/nemotron-cc-french-tower9b,belebele_fra_Latn_cf,5,0.4255555555555556,acc_norm
MultiSynt/nemotron-cc-french-tower9b,all,unknown,0.4255555555555556,acc_norm
HPLT/hplt2c_por_checkpoints,belebele_por_Latn_cf,5,0.3844444444444444,acc_norm
HPLT/hplt2c_por_checkpoints,all,unknown,0.3844444444444444,acc_norm
MultiSynt/nemotron-cc-finnish-tower72b,belebele_fin_Latn_cf,5,0.39555555555555555,acc_norm
MultiSynt/nemotron-cc-finnish-tower72b,all,unknown,0.39555555555555555,acc_norm
MultiSynt/nemotron-cc-dutch-tower9b,belebele_nld_Latn_cf,5,0.4166666666666667,acc_norm
MultiSynt/nemotron-cc-dutch-tower9b,all,unknown,0.4166666666666667,acc_norm
HPLT/hplt2c_dan_checkpoints,belebele_dan_Latn_cf,5,0.33666666666666667,acc_norm
HPLT/hplt2c_dan_checkpoints,all,unknown,0.33666666666666667,acc_norm
MultiSynt/nemotron-cc-basque-opus,belebele_eus_Latn_cf,5,0.34,acc_norm
MultiSynt/nemotron-cc-basque-opus,all,unknown,0.34,acc_norm
MultiSynt/nemotron-cc-norwegian-tower9b,belebele_nob_Latn_cf,5,0.39222222222222225,acc_norm
MultiSynt/nemotron-cc-norwegian-tower9b,all,unknown,0.39222222222222225,acc_norm
